,word,onset,offset
533,het,180.59,180.71
534,eendje,180.71,181.08
535,kneep,181.51,181.71499
536,de,181.71499,181.8
537,ogen,181.8,182.12
538,even,182.12,182.36
539,dicht,182.36,182.56
540,en,182.88,182.95
541,liep,182.95,183.16
542,toen,183.16,183.37
543,weer,183.37,183.48
544,voort,183.48,183.84
545,Zo,184.77,184.99
546,kwam,184.99,185.21
547,het,185.21,185.31
548,aan,185.31,185.4
549,het,185.4,185.48
550,grote,185.48,185.83
551,moeras,185.83,186.25
552,waar,186.54,186.73
553,de,186.73,186.84
554,wilde,186.84,187.15
555,eenden,187.15,187.63
556,woonden,187.69,188.16
557,Hier,188.91,189.17
558,lag,189.17,189.38
559,het,189.38,189.49
560,de,189.49,189.52
561,gehele,189.52,189.98
562,nacht,189.98,190.24
563,Het,190.24,190.29
564,was,190.6,190.78
565,vermoeid,190.78,191.4
566,en,191.4,191.5
567,verdrietig,191.5,191.97
568,Tegen,192.78,193.06
569,de,193.06,193.13
570,morgen,193.13,193.57
571,vlogen,193.82,194.13
572,de,194.13,194.22
573,wilde,194.22,194.48
574,eenden,194.48,194.82
575,op,194.82,195.02
576,en,195.31,195.46
577,bekeken,195.46,195.87
578,haar,195.87,196.0
579,nieuwe,196.0,196.25
580,kameraad,196.25,196.77
581,eens,196.77,197.03
582,Wat,198.13,198.25
583,ben,198.25,198.31
584,jij,198.31,198.55
585,er,198.55,198.66
586,voor,198.66,198.81
587,een,198.81,199.05
588,vroegen,199.39,199.57
589,zij,199.57,199.8
590,En,200.24,200.33
591,het,200.33,200.44
592,eendje,200.44,200.8
593,wendde,201.01,201.23
594,zich,201.23,201.36
595,naar,201.36,201.56
596,alle,201.56,201.68
597,kanten,201.68,202.11
598,en,202.31,202.4
599,groette,202.4,202.74
600,zo,202.74,202.85
601,goed,202.85,203.05
602,het,203.05,203.08
603,kon,203.18,203.43
604,Je,204.6,204.68
605,bent,204.68,204.84
606,verschrikkelijk,204.84,205.42
607,lelijk,205.42,205.81
608,zeiden,206.15,206.42
609,de,206.42,206.51
610,wilde,206.51,206.82
611,eenden,206.82,207.14
612,Maar,207.64,207.83
613,dat,207.83,207.94499
614,kan,207.94499,208.1
615,ons,208.1,208.21
616,niet,208.21,208.4
617,schelen,208.4,208.8
618,als,209.1,209.3
619,je,209.3,209.36
620,maar,209.36,209.49
621,niet,209.49,209.72
622,met,209.72,209.83
623,iemand,209.83,210.03
624,van,210.03,210.18
625,onze,210.18,210.34
626,familie,210.34,210.76
627,trouwt,210.76,211.12
628,Het,212.86,213.05
629,arme,213.21,213.58
630,beest,213.58,213.88
631,Het,214.52,214.65
632,dacht,214.8,215.05
633,er,215.05,215.15
634,waarlijk,215.15,215.45
635,niet,215.45,215.59
636,aan,215.59,215.77
637,te,215.77,215.87
638,trouwen,215.87,216.36
639,Als,216.68,216.87
640,het,216.87,216.95
641,maar,216.95,217.08
642,de,217.08,217.13
643,vergunning,217.13,217.56
644,kon,217.56,217.8
645,krijgen,217.8,218.24
646,om,218.48,218.63
647,in,218.63,218.74
648,het,218.74,218.78
649,riet,218.78,218.99
650,te,218.99,219.08
651,liggen,219.08,219.41
652,en,219.61,219.72
653,wat,219.72,219.88
654,moeraswater,219.88,220.5
655,te,220.5,220.66
656,drinken,220.66,221.13
657,Zo,222.31,222.65
658,lag,222.82,222.99
659,het,222.99,223.06
660,twee,223.13,223.53
661,hele,223.65,223.95
662,dagen,223.95,224.44
663,Toen,225.12,225.33
664,kwamen,225.33,225.62
665,er,225.62,225.7
666,twee,225.7,225.99
667,wilde,225.99,226.22
668,ganzen,226.22,226.66
669,of,226.8,227.07
670,liever,227.33,227.51
671,gezegd,227.51,227.84
672,genten,228.16,228.61
673,naar,228.77,228.86
674,hem,228.86,229.01
675,toe,229.01,229.21
676,Het,229.9,230.09
677,was,230.09,230.21
678,nog,230.21,230.33
679,niet,230.33,230.51
680,lang,230.51,230.68
681,geleden,230.68,231.15
682,dat,231.36,231.54
683,zij,231.54,231.62
684,uit,231.62,231.79
685,het,231.79,231.86
686,ei,231.91,232.05
687,gekropen,232.05,232.49
688,waren,232.49,232.78
689,En,233.11,233.25
690,daarom,233.25,233.55
691,waren,233.55,233.74
692,zij,233.74,233.86
693,zo,233.86,234.01
694,overmoedig,234.01,234.63
695,Hoor,235.54,235.82
